source,productioncenter,domain,timestamp,year,month,day,hour,minute,second,id,latitude,longitude,coordinate,type,region,level,description,domain2,tags,name,ns1:lang,id3,description4,type5,type6,h,datetime,day7,value,unit
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,Bangkalan,en_US,,,,,,,,,
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,Kab. Bangkalan,id_ID,,,,,,,,,
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,hu,Humidity,hourly,hourly,0,2.02403E+11,,90,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,hu,Humidity,hourly,hourly,6,2.02403E+11,,65,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,hu,Humidity,hourly,hourly,12,2.02403E+11,,90,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,hu,Humidity,hourly,hourly,18,2.02403E+11,,90,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,hu,Humidity,hourly,hourly,24,2.02403E+11,,90,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,hu,Humidity,hourly,hourly,30,2.02403E+11,,65,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,hu,Humidity,hourly,hourly,36,2.02403E+11,,85,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,hu,Humidity,hourly,hourly,42,2.02403E+11,,90,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,hu,Humidity,hourly,hourly,48,2.02403E+11,,95,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,hu,Humidity,hourly,hourly,54,2.02403E+11,,75,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,hu,Humidity,hourly,hourly,60,2.02403E+11,,90,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,hu,Humidity,hourly,hourly,66,2.02403E+11,,100,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,humax,Max humidity,daily,daily,,2.02403E+11,20240315,95,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,humax,Max humidity,daily,daily,,2.02403E+11,20240316,95,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,humax,Max humidity,daily,daily,,2.02403E+11,20240317,95,%
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,tmax,Max temperature,daily,daily,,2.02403E+11,20240315,30,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,tmax,Max temperature,daily,daily,,2.02403E+11,20240315,86,F
