Jenis Usaha,Jenis Ikan,Tahun,Volume Produksi
TANGKAP LAUT,CAKALANG,2010,329949
TANGKAP LAUT,CAKALANG,2011,372211
TANGKAP LAUT,CAKALANG,2012,429024
TANGKAP LAUT,CAKALANG,2013,481014
TANGKAP LAUT,CAKALANG,2014,496682
TANGKAP LAUT,CAKALANG,2015,406334
TANGKAP LAUT,CAKALANG,2016,431762
TANGKAP LAUT,CAKALANG,2017,467550
TANGKAP LAUT,CAKALANG,2018,510686
TANGKAP LAUT,CAKALANG,2019,527173
TANGKAP LAUT,CAKALANG,2020,468270
TANGKAP LAUT,CAKALANG,2021,432845
TANGKAP LAUT,CAKALANG,2022,474809
TANGKAP LAUT,KAKAP,2010,221522
TANGKAP LAUT,KAKAP,2011,208672
TANGKAP LAUT,KAKAP,2012,207426
TANGKAP LAUT,KAKAP,2013,123333
TANGKAP LAUT,KAKAP,2014,127640
TANGKAP LAUT,KAKAP,2015,216003
TANGKAP LAUT,KAKAP,2016,207332
TANGKAP LAUT,KAKAP,2017,414783
TANGKAP LAUT,KAKAP,2018,311145
TANGKAP LAUT,KAKAP,2019,244780
TANGKAP LAUT,KAKAP,2020,272087
TANGKAP LAUT,KAKAP,2021,293164
TANGKAP LAUT,KAKAP,2022,311104
TANGKAP LAUT,KERAPU,2010,73135
TANGKAP LAUT,KERAPU,2011,74059
TANGKAP LAUT,KERAPU,2012,92183
TANGKAP LAUT,KERAPU,2013,99904
TANGKAP LAUT,KERAPU,2014,110418
TANGKAP LAUT,KERAPU,2015,134833
TANGKAP LAUT,KERAPU,2016,134861
TANGKAP LAUT,KERAPU,2017,163587
TANGKAP LAUT,KERAPU,2018,181362
TANGKAP LAUT,KERAPU,2019,181647
TANGKAP LAUT,KERAPU,2020,178703
TANGKAP LAUT,KERAPU,2021,185010
TANGKAP LAUT,KERAPU,2022,189971
TANGKAP LAUT,TONGKOL,2010,367320
TANGKAP LAUT,TONGKOL,2011,415331
TANGKAP LAUT,TONGKOL,2012,432138
TANGKAP LAUT,TONGKOL,2013,451048
TANGKAP LAUT,TONGKOL,2014,515571
TANGKAP LAUT,TONGKOL,2015,508754
TANGKAP LAUT,TONGKOL,2016,462321
TANGKAP LAUT,TONGKOL,2017,474971
TANGKAP LAUT,TONGKOL,2018,618664
TANGKAP LAUT,TONGKOL,2019,545073
TANGKAP LAUT,TONGKOL,2020,581076
TANGKAP LAUT,TONGKOL,2021,593905
TANGKAP LAUT,TONGKOL,2022,660477
TANGKAP LAUT,TUNA,2010,213796
TANGKAP LAUT,TUNA,2011,241364
TANGKAP LAUT,TUNA,2012,275778
TANGKAP LAUT,TUNA,2013,305438
TANGKAP LAUT,TUNA,2014,313873
TANGKAP LAUT,TUNA,2015,252490
TANGKAP LAUT,TUNA,2016,269960
TANGKAP LAUT,TUNA,2017,293232
TANGKAP LAUT,TUNA,2018,409016
TANGKAP LAUT,TUNA,2019,349528
TANGKAP LAUT,TUNA,2020,300804
TANGKAP LAUT,TUNA,2021,359130
TANGKAP LAUT,TUNA,2022,355349
