Jenis Usaha,Provinsi,Jenis Ikan,Tahun,Volume Produksi,Nilai Produksi
TANGKAP LAUT,ACEH,CAKALANG,2010,12136,179000088
TANGKAP LAUT,ACEH,CAKALANG,2011,10863,174598742
TANGKAP LAUT,ACEH,CAKALANG,2012,10894,235586214
TANGKAP LAUT,ACEH,CAKALANG,2013,10909,207277012
TANGKAP LAUT,ACEH,CAKALANG,2014,10604,209074506
TANGKAP LAUT,ACEH,CAKALANG,2015,12084,222014343
TANGKAP LAUT,ACEH,CAKALANG,2016,13493,317764236
TANGKAP LAUT,ACEH,CAKALANG,2017,19072,398875669
TANGKAP LAUT,ACEH,CAKALANG,2018,31396,958542791
TANGKAP LAUT,ACEH,CAKALANG,2019,33160,771956734
TANGKAP LAUT,ACEH,CAKALANG,2020,38348,976795300
TANGKAP LAUT,ACEH,CAKALANG,2021,23398,649647945
TANGKAP LAUT,ACEH,CAKALANG,2022,39716,1017842542
TANGKAP LAUT,ACEH,KAKAP,2010,2945,81775866
TANGKAP LAUT,ACEH,KAKAP,2011,4465,121963238
TANGKAP LAUT,ACEH,KAKAP,2012,4074,120357955
TANGKAP LAUT,ACEH,KAKAP,2013,2048,135992630
TANGKAP LAUT,ACEH,KAKAP,2014,2056,146257227
TANGKAP LAUT,ACEH,KAKAP,2015,5249,185510386
TANGKAP LAUT,ACEH,KAKAP,2016,6248,223414801
TANGKAP LAUT,ACEH,KAKAP,2017,35580,1675803014
TANGKAP LAUT,ACEH,KAKAP,2018,5188,196832475
TANGKAP LAUT,ACEH,KAKAP,2019,9192,350146831
TANGKAP LAUT,ACEH,KAKAP,2020,10929,413008502
TANGKAP LAUT,ACEH,KAKAP,2021,8934,326990932
TANGKAP LAUT,ACEH,KAKAP,2022,9809,435260829
TANGKAP LAUT,ACEH,KERAPU,2010,3196,110028406
TANGKAP LAUT,ACEH,KERAPU,2011,4057,144358436
TANGKAP LAUT,ACEH,KERAPU,2012,3813,130294485
TANGKAP LAUT,ACEH,KERAPU,2013,4753,154246204
TANGKAP LAUT,ACEH,KERAPU,2014,4604,161404878
TANGKAP LAUT,ACEH,KERAPU,2015,5872,235105218
TANGKAP LAUT,ACEH,KERAPU,2016,6318,225832249
TANGKAP LAUT,ACEH,KERAPU,2017,3207,133966597
TANGKAP LAUT,ACEH,KERAPU,2018,4980,451031357
TANGKAP LAUT,ACEH,KERAPU,2019,8208,521951869
TANGKAP LAUT,ACEH,KERAPU,2020,8736,504407163
TANGKAP LAUT,ACEH,KERAPU,2021,9595,519873312
TANGKAP LAUT,ACEH,KERAPU,2022,7130,361783304
TANGKAP LAUT,ACEH,SARDEN,2020,307,6389956
TANGKAP LAUT,ACEH,SARDEN,2021,309,5673230
TANGKAP LAUT,ACEH,SARDEN,2022,267,3850534
TANGKAP LAUT,ACEH,TONGKOL,2010,27081,378635961
TANGKAP LAUT,ACEH,TONGKOL,2011,26461,373660125
TANGKAP LAUT,ACEH,TONGKOL,2012,29595,477028843
TANGKAP LAUT,ACEH,TONGKOL,2013,29917,498460861
TANGKAP LAUT,ACEH,TONGKOL,2014,26808,463723421
TANGKAP LAUT,ACEH,TONGKOL,2015,34645,688905441
TANGKAP LAUT,ACEH,TONGKOL,2016,33436,734635007
TANGKAP LAUT,ACEH,TONGKOL,2017,35546,733056476
TANGKAP LAUT,ACEH,TONGKOL,2018,78683,1639891485
TANGKAP LAUT,ACEH,TONGKOL,2019,47910,942592088
TANGKAP LAUT,ACEH,TONGKOL,2020,78943,1632221700
TANGKAP LAUT,ACEH,TONGKOL,2021,42835,846659853
TANGKAP LAUT,ACEH,TONGKOL,2022,53428,1194926570
TANGKAP LAUT,ACEH,TUNA,2010,7956,119497770
TANGKAP LAUT,ACEH,TUNA,2011,7517,131180236
TANGKAP LAUT,ACEH,TUNA,2012,8888,243680857
TANGKAP LAUT,ACEH,TUNA,2013,4768,125388399
TANGKAP LAUT,ACEH,TUNA,2014,7094,149387448
TANGKAP LAUT,ACEH,TUNA,2015,12391,332073009
TANGKAP LAUT,ACEH,TUNA,2016,15722,455691642
TANGKAP LAUT,ACEH,TUNA,2017,5994,263956762
TANGKAP LAUT,ACEH,TUNA,2018,22291,2014843620
TANGKAP LAUT,ACEH,TUNA,2019,19295,932562921
TANGKAP LAUT,ACEH,TUNA,2020,15421,603083400
TANGKAP LAUT,ACEH,TUNA,2021,13197,498724269
TANGKAP LAUT,ACEH,TUNA,2022,23419,883960133
TANGKAP LAUT,BALI,CAKALANG,2010,6548,102014970
TANGKAP LAUT,BALI,CAKALANG,2011,9907,197978860
TANGKAP LAUT,BALI,CAKALANG,2012,11135,245334760
TANGKAP LAUT,BALI,CAKALANG,2013,11971,266936280
TANGKAP LAUT,BALI,CAKALANG,2014,17072,403891350
TANGKAP LAUT,BALI,CAKALANG,2015,6553,134653531
TANGKAP LAUT,BALI,CAKALANG,2016,7893,148986528
TANGKAP LAUT,BALI,CAKALANG,2017,6555,121581960
TANGKAP LAUT,BALI,CAKALANG,2018,8263,238562522
TANGKAP LAUT,BALI,CAKALANG,2019,6510,185027024
TANGKAP LAUT,BALI,CAKALANG,2020,9034,257822200
TANGKAP LAUT,BALI,CAKALANG,2021,7982,177759713
TANGKAP LAUT,BALI,CAKALANG,2022,7834,161337758
TANGKAP LAUT,BALI,KAKAP,2010,302,5989850
TANGKAP LAUT,BALI,KAKAP,2011,224,8103975
TANGKAP LAUT,BALI,KAKAP,2012,357,9137800
TANGKAP LAUT,BALI,KAKAP,2013,249,12061900
TANGKAP LAUT,BALI,KAKAP,2014,178,18833945
TANGKAP LAUT,BALI,KAKAP,2015,779,22963023
TANGKAP LAUT,BALI,KAKAP,2016,1122,29410272
TANGKAP LAUT,BALI,KAKAP,2017,3518,117270995
TANGKAP LAUT,BALI,KAKAP,2018,1143,42599750
TANGKAP LAUT,BALI,KAKAP,2019,1058,45142935
TANGKAP LAUT,BALI,KAKAP,2020,1160,51238341
TANGKAP LAUT,BALI,KAKAP,2021,1409,44207151
TANGKAP LAUT,BALI,KAKAP,2022,1315,41643978
TANGKAP LAUT,BALI,KERAPU,2010,869,17743360
TANGKAP LAUT,BALI,KERAPU,2011,672,17136600
TANGKAP LAUT,BALI,KERAPU,2012,668,19437950
TANGKAP LAUT,BALI,KERAPU,2013,713,22201300
TANGKAP LAUT,BALI,KERAPU,2014,678,21461840
TANGKAP LAUT,BALI,KERAPU,2015,1934,47112935
TANGKAP LAUT,BALI,KERAPU,2016,863,22247773
TANGKAP LAUT,BALI,KERAPU,2017,4105,169896307
TANGKAP LAUT,BALI,KERAPU,2018,675,58025052
TANGKAP LAUT,BALI,KERAPU,2019,868,35012589
TANGKAP LAUT,BALI,KERAPU,2020,897,37581821
TANGKAP LAUT,BALI,KERAPU,2021,964,32370592
TANGKAP LAUT,BALI,KERAPU,2022,889,32577457
TANGKAP LAUT,BALI,TONGKOL,2010,20572,177586723
TANGKAP LAUT,BALI,TONGKOL,2011,28041,251112195
TANGKAP LAUT,BALI,TONGKOL,2012,24621,274337150
TANGKAP LAUT,BALI,TONGKOL,2013,23126,293454125
TANGKAP LAUT,BALI,TONGKOL,2014,27080,416311235
TANGKAP LAUT,BALI,TONGKOL,2015,29064,365486818
TANGKAP LAUT,BALI,TONGKOL,2016,30106,376729004
TANGKAP LAUT,BALI,TONGKOL,2017,16035,298091873
TANGKAP LAUT,BALI,TONGKOL,2018,22720,358685885
TANGKAP LAUT,BALI,TONGKOL,2019,17321,314074853
TANGKAP LAUT,BALI,TONGKOL,2020,17983,329217144
TANGKAP LAUT,BALI,TONGKOL,2021,26000,565003026
TANGKAP LAUT,BALI,TONGKOL,2022,28405,501282101
TANGKAP LAUT,BALI,TUNA,2010,15900,311782193
TANGKAP LAUT,BALI,TUNA,2011,12326,251261980
TANGKAP LAUT,BALI,TUNA,2012,15511,320022941
TANGKAP LAUT,BALI,TUNA,2013,16724,411646990
TANGKAP LAUT,BALI,TUNA,2014,16575,451434935
TANGKAP LAUT,BALI,TUNA,2015,13773,290143122
TANGKAP LAUT,BALI,TUNA,2016,16323,333138926
TANGKAP LAUT,BALI,TUNA,2017,15512,594950297
TANGKAP LAUT,BALI,TUNA,2018,14989,1245275875
TANGKAP LAUT,BALI,TUNA,2019,12278,523448678
TANGKAP LAUT,BALI,TUNA,2020,14245,484072950
TANGKAP LAUT,BALI,TUNA,2021,18803,593048231
TANGKAP LAUT,BALI,TUNA,2022,15310,439390350
TANGKAP LAUT,BANTEN,CAKALANG,2010,146,2323408
TANGKAP LAUT,BANTEN,CAKALANG,2011,311,3609943
TANGKAP LAUT,BANTEN,CAKALANG,2012,160,2556619
TANGKAP LAUT,BANTEN,CAKALANG,2013,122,3035960
TANGKAP LAUT,BANTEN,CAKALANG,2014,105,2622175
TANGKAP LAUT,BANTEN,CAKALANG,2015,296,4970394
TANGKAP LAUT,BANTEN,CAKALANG,2016,799,14349488
TANGKAP LAUT,BANTEN,CAKALANG,2017,274,4650563
TANGKAP LAUT,BANTEN,CAKALANG,2018,800,14407542
TANGKAP LAUT,BANTEN,CAKALANG,2019,2155,38796354
TANGKAP LAUT,BANTEN,CAKALANG,2020,1213,22312600
TANGKAP LAUT,BANTEN,CAKALANG,2021,1229,22116348
TANGKAP LAUT,BANTEN,CAKALANG,2022,2272,42674332
TANGKAP LAUT,BANTEN,KAKAP,2010,2420,65221021
TANGKAP LAUT,BANTEN,KAKAP,2011,2267,65172586
TANGKAP LAUT,BANTEN,KAKAP,2012,1332,34963153
TANGKAP LAUT,BANTEN,KAKAP,2013,762,41617932
TANGKAP LAUT,BANTEN,KAKAP,2014,942,47354133
TANGKAP LAUT,BANTEN,KAKAP,2015,903,30850886
TANGKAP LAUT,BANTEN,KAKAP,2016,813,29887466
TANGKAP LAUT,BANTEN,KAKAP,2017,826,28911512
TANGKAP LAUT,BANTEN,KAKAP,2018,2526,130873817
TANGKAP LAUT,BANTEN,KAKAP,2019,8214,401540017
TANGKAP LAUT,BANTEN,KAKAP,2020,4302,180159663
TANGKAP LAUT,BANTEN,KAKAP,2021,2561,130863295
TANGKAP LAUT,BANTEN,KAKAP,2022,1580,68031637
TANGKAP LAUT,BANTEN,KERAPU,2010,722,24149228
TANGKAP LAUT,BANTEN,KERAPU,2011,717,23732606
TANGKAP LAUT,BANTEN,KERAPU,2012,734,26601917
TANGKAP LAUT,BANTEN,KERAPU,2013,895,33145995
TANGKAP LAUT,BANTEN,KERAPU,2014,823,31497805
TANGKAP LAUT,BANTEN,KERAPU,2015,1147,46835968
TANGKAP LAUT,BANTEN,KERAPU,2016,1032,42983541
TANGKAP LAUT,BANTEN,KERAPU,2017,273,11308704
TANGKAP LAUT,BANTEN,KERAPU,2018,3804,350455860
TANGKAP LAUT,BANTEN,KERAPU,2019,4869,509632368
TANGKAP LAUT,BANTEN,KERAPU,2020,1569,88046832
TANGKAP LAUT,BANTEN,KERAPU,2021,1145,80502612
TANGKAP LAUT,BANTEN,KERAPU,2022,1235,68269830
TANGKAP LAUT,BANTEN,SARDEN,2020,1233,22908880
TANGKAP LAUT,BANTEN,SARDEN,2021,555,9153880
TANGKAP LAUT,BANTEN,SARDEN,2022,190,1720835
TANGKAP LAUT,BANTEN,TONGKOL,2010,2862,32664677
TANGKAP LAUT,BANTEN,TONGKOL,2011,3086,35947260
TANGKAP LAUT,BANTEN,TONGKOL,2012,3711,42055936
TANGKAP LAUT,BANTEN,TONGKOL,2013,3638,56177506
TANGKAP LAUT,BANTEN,TONGKOL,2014,4191,62692702
